A,B,C,D,E,F,G,H,I,J
1764362652.1172063,80,False,False,False,14,False,0,False,False
1764362658.3780317,80,False,False,False,13,False,0,False,False
1764362663.4454618,80,False,False,False,12,False,0,False,False
1764362667.311575,80,False,False,False,12,False,0,False,False
1764362669.7472353,80,False,False,False,11,False,1,False,False
1764362672.2963312,80,False,False,False,11,False,1,False,False
1764362676.2507286,80,False,False,False,11,False,1,False,False
1764362678.6124222,80,False,True,True,10,True,1,False,False
1764362681.7690756,78,False,True,True,11,True,1,False,False
1764362684.9456558,76,False,True,True,13,True,1,False,False
1764362690.0271893,73,False,True,True,15,True,1,False,False
1764362694.6807835,71,False,True,True,17,True,1,False,False
1764362699.2520645,68,False,True,True,19,True,1,False,False
1764362703.0744324,66,False,True,True,20,False,1,False,False
1764362707.6685104,66,False,False,False,20,False,1,False,False
1764362713.3304222,66,False,False,False,19,False,1,False,False
1764362716.4662387,66,False,False,False,18,False,1,False,False
1764362721.2092366,66,False,False,False,18,False,1,False,False
1764362723.7034175,66,False,False,False,17,False,1,False,False
1764362726.7291028,66,False,False,False,17,False,1,False,False
1764362729.8023942,66,False,False,False,16,False,1,False,False
1764362734.4207025,66,False,False,False,16,False,1,False,False
1764362737.315878,66,False,False,False,15,False,1,False,False
1764362741.0602145,66,False,False,False,15,False,2,False,False
1764362746.387707,66,False,False,False,14,False,2,False,False
1764362750.6475284,66,False,False,False,13,False,2,False,False
1764362755.031553,66,False,False,False,13,False,2,False,False
1764362759.9599938,66,False,False,False,12,False,2,False,False
1764362764.8180263,66,False,False,False,12,False,2,False,False
1764362768.2342558,66,False,False,False,11,False,2,False,False
1764362772.482144,66,False,False,False,11,False,2,False,False
1764362777.431272,66,False,False,False,10,True,2,False,False
1764362781.084149,65,False,True,True,11,True,2,False,False
1764362783.601336,64,False,True,True,12,True,2,False,False
1764362786.7571998,62,False,True,True,13,True,2,False,False
1764362790.8520336,60,False,True,True,15,True,2,False,False
1764362794.5880837,58,False,True,True,16,True,2,False,False
1764362799.4248052,56,False,True,True,17,True,2,False,False
1764362803.509404,54,False,True,True,19,True,2,False,False
1764362809.20252,51,False,False,False,20,False,2,False,False
1764362812.8324623,51,False,False,False,21,False,1,True,False
1764362817.0423071,51,False,False,False,22,False,0,False,False
1764362822.259854,51,False,False,False,21,False,0,False,False
1764362825.4357307,51,False,False,False,20,False,0,False,False
1764362829.087619,51,False,False,False,20,False,0,False,False
1764362832.6614711,51,False,False,False,19,False,0,False,False
1764362838.3018448,51,False,False,False,18,False,0,False,False
1764362844.2195895,51,False,False,False,17,False,0,False,False
1764362847.1319335,51,False,False,False,17,False,0,False,False
1764362852.8650856,51,False,False,False,16,False,1,False,False
1764362857.361078,51,False,False,False,15,False,1,False,False
1764362863.097618,51,False,False,False,15,False,1,False,False
1764362866.5744312,51,False,False,False,14,False,1,False,False
1764362870.133301,51,False,False,False,14,False,1,False,False
1764362874.1874368,51,False,False,False,13,False,1,False,False
1764362878.293686,51,False,False,False,13,False,1,False,False
1764362882.9502454,51,False,False,False,12,False,1,False,False
1764362886.1345186,51,False,False,False,12,False,1,False,False
1764362889.5418746,51,False,False,False,11,False,1,False,False
1764362895.0232346,51,False,False,False,10,True,1,False,False
1764362897.025946,51,False,False,False,10,True,1,False,False
1764362901.453076,50,False,True,True,11,True,1,False,False
1764362907.119591,47,False,True,True,13,True,1,False,False
1764362910.4883246,46,False,True,True,14,True,1,False,False
1764362913.1315866,45,False,True,True,14,True,1,False,False
1764362917.2152836,43,False,True,True,16,True,1,False,False
1764362920.997318,42,False,True,True,17,True,1,False,False
1764362925.288693,41,True,True,True,18,True,2,False,False
1764362930.5845397,42,True,True,True,19,True,2,False,False
1764362934.425914,43,True,False,False,20,False,2,False,False
1764362937.7007782,45,True,False,False,20,False,2,False,False
1764362941.6613333,47,True,False,False,19,False,2,False,False
1764362946.86038,51,True,False,False,18,False,2,False,False
1764362952.4115176,55,True,False,False,17,False,2,False,False
1764362957.1215425,57,True,False,False,17,False,2,False,False
1764362961.6945224,60,True,False,False,16,False,2,False,False
1764362965.629648,63,True,False,False,15,False,2,False,False
1764362969.2779343,66,True,False,False,15,False,2,False,False
1764362971.956549,67,True,False,False,14,False,2,False,False
1764362977.47867,71,True,False,False,14,False,2,False,False
1764362981.9066281,73,True,False,False,13,False,2,False,False
1764362987.2847843,77,True,False,False,12,False,2,False,False
1764362991.8044927,80,False,False,False,12,False,2,True,False
1764362996.3266757,80,False,False,False,14,False,0,False,False
1764363000.0322294,80,False,False,False,13,False,0,False,False
1764363004.9113255,80,False,False,False,13,False,0,False,False
1764363009.9622016,80,False,False,False,12,False,0,False,False
1764363015.109654,80,False,False,False,11,False,0,False,False
1764363020.4884732,80,False,False,False,11,False,0,False,False
1764363023.8236804,80,False,True,True,10,True,0,False,False
1764363028.6279516,78,False,True,True,12,True,0,False,False
1764363032.0088887,76,False,True,True,14,True,0,False,False
1764363036.5821316,73,False,True,True,16,True,0,False,False
1764363041.6886961,70,False,True,True,18,True,1,False,False
1764363044.567605,69,False,True,True,19,True,1,False,False
1764363047.9411528,67,False,True,True,20,False,1,False,False
1764363052.1040823,66,False,False,False,20,False,1,False,False
1764363056.259803,66,False,False,False,19,False,1,False,False
1764363061.6293507,66,False,False,False,19,False,1,False,False
1764363065.0932367,66,False,False,False,18,False,1,False,False
1764363070.0380402,66,False,False,False,17,False,1,False,False
1764363075.1147106,66,False,False,False,16,False,1,False,False
1764363078.6656804,66,False,False,False,16,False,1,False,False
1764363082.3190868,66,False,False,False,15,False,1,False,False
1764363085.0131938,66,False,False,False,15,False,1,False,False
1764363089.5663445,66,False,False,False,14,False,1,False,False
1764363094.2053254,66,False,False,False,14,False,1,False,False
1764363099.2824757,66,False,False,False,13,False,1,False,False
1764363103.2604222,66,False,False,False,13,False,1,False,False
1764363108.870285,66,False,False,False,12,False,2,False,False
1764363113.2734976,66,False,False,False,11,False,2,False,False
1764363117.7562943,66,False,False,False,11,False,2,False,False
1764363121.7228954,66,False,False,False,10,True,2,False,False
1764363125.234005,66,False,True,True,10,True,2,False,False
1764363130.442337,63,False,True,True,12,True,2,False,False
1764363133.2884855,62,False,True,True,14,True,2,False,False
1764363137.187452,60,False,True,True,15,True,2,False,False
1764363140.8614912,58,False,True,True,16,True,2,False,False
1764363144.2143419,56,False,True,True,17,True,2,False,False
1764363148.0011961,54,False,True,True,19,True,2,False,False
1764363152.096875,53,False,True,True,20,False,2,False,False
1764363157.2772868,51,False,False,False,20,False,2,False,False
