A,B,C,D,E,F,G,H,I,J,K,L
3089,14074,16081,12191,11994,18685,14239,17878,12169,11966,18711,True
3097,14054,16101,12184,11992,18759,14275,17942,12155,11954,18720,True
3105,14037,16093,12185,11990,18748,14314,17870,12174,11975,18769,True
3113,14024,16067,12188,11998,18704,14364,17849,12181,11976,18687,True
3121,13995,15987,12204,12005,18742,14440,17925,12170,11971,18803,True
3129,13958,16045,12165,11987,18812,14511,17837,12191,11994,18818,True
3137,13930,15940,12190,12006,18736,14576,17813,12204,11995,18739,True
3145,13901,15943,12184,12000,18743,14623,17936,12158,11962,18743,True
3153,13878,15822,12212,12016,18768,14690,17858,12187,11982,18719,True
3161,13868,15889,12185,11992,18665,14722,17926,12161,11959,18785,True
3169,13855,15862,12179,11987,18728,14783,17878,12181,11973,18726,True
3177,13818,15903,12151,11964,18768,14846,17812,12207,11994,18790,True
3185,13809,15652,12239,12019,18797,14879,17894,12177,11961,18766,True
3193,13802,15681,12215,11998,18671,14920,17852,12187,11958,18643,True
3201,13799,15829,12152,11951,18614,14976,17921,12164,11943,18682,True
3209,13802,15738,12185,11961,18571,15076,17877,12190,11943,18603,True
3217,13805,15698,12187,11958,18711,15137,17968,12161,11918,18640,True
3225,13808,15618,12210,11970,18693,15202,17817,12201,11939,18696,True
3233,13809,15652,12192,11956,18628,15247,17912,12176,11924,18674,True
3241,13816,15668,12167,11929,18658,15321,17855,12189,11916,18673,True
3249,13813,15476,12215,11953,18638,15435,17984,12151,11890,18692,True
3257,13812,15517,12191,11928,18618,15473,17886,12183,11903,18653,True
3265,13816,15439,12219,11947,18692,15518,17847,12202,11906,18729,True
3273,13818,15396,12226,11945,18610,15563,17790,12210,11912,18613,True
3281,13825,15456,12186,11909,18615,15620,17791,12213,11902,18725,True
3289,13827,15435,12192,11911,18636,15676,17843,12189,11883,18615,True
3297,13824,15458,12166,11893,18606,15713,17846,12198,11891,18751,True
3305,13829,15336,12189,11903,18694,15774,17804,12213,11887,18666,True
3313,13839,15210,12221,11919,18667,15831,17986,12160,11850,18656,True
3321,13863,15281,12177,11875,18567,15913,17937,12170,11850,18579,True
3329,13883,15185,12212,11895,18590,15994,17887,12189,11856,18581,True
3337,13926,15210,12185,11872,18531,16092,17887,12187,11847,18592,True
3345,13938,15153,12199,11897,18682,16150,17894,12183,11845,18540,True
3353,13940,15176,12179,11881,18680,16192,17891,12186,11862,18703,True
3361,13941,15211,12163,11869,18704,16219,17873,12196,11867,18686,True
3369,13943,15217,12155,11866,18717,16256,18011,12148,11840,18738,True
3377,13959,15122,12188,11886,18729,16307,17933,12171,11844,18670,True
3385,13968,15231,12138,11858,18665,16361,17955,12161,11847,18721,True
3393,13971,15094,12185,11885,18709,16406,17972,12167,11854,18672,True
3401,13983,14629,12230,11923,18661,16447,17906,12187,11869,18699,True
3409,13992,15136,12176,11882,18672,16489,17906,12190,11868,18666,True
3417,14000,14588,12233,11942,18738,16540,17944,12175,11868,18666,True
3425,13999,15097,12179,11900,18766,16581,17806,12213,11902,18756,True
3433,14000,15026,12205,11918,18789,16619,17981,12159,11867,18786,True
3441,14006,15030,12200,11918,18826,16679,17892,12184,11892,18709,True
3449,14014,15132,12149,11892,18722,16725,17878,12196,11903,18734,True
3457,14018,14653,12199,11942,18778,16759,17930,12179,11897,18734,True
3465,14012,14575,12221,11976,18758,16807,17957,12166,11900,18775,True
3473,14017,14541,12233,11982,18755,16832,17973,12167,11900,18780,True
