timestamp,PLC1_IR0,PLC1_IR1,PLC1_IR2,PLC1_IR3,PLC1_IR4,PLC1_IR5,PLC1_C0,PLC1_C1,PLC1_C2,PLC1_C3,PLC1_C4,PLC1_C5,PLC1_C6,PLC1_DR0,PLC1_DR1,PLC1_DR2,PLC1_DR3,PLC1_DR4,PLC1_DR5,PLC2_IR0,PLC2_IR1,PLC2_IR2,PLC2_IR3,PLC2_IR4,PLC2_IR5,PLC2_C0,PLC2_C1,PLC2_C2,PLC2_C3,PLC2_C4,PLC2_C5,PLC2_C6,PLC2_C7,PLC2_C10,PLC2_DR0,PLC2_DR1,PLC2_DR2,PLC2_DR3,PLC2_DR4,PLC2_DR5
1768573324.9507039,26266,19532,15513,12191,11956,18713,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14177,17903,12174,11969,18876,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573325.416231,26266,19532,15513,12191,11956,18713,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14177,17903,12174,11969,18876,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573325.8857608,26266,19532,15513,12191,11956,18713,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14157,17949,12158,11952,18823,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573326.4950566,26266,19530,15625,12152,11925,18719,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14157,17949,12158,11952,18823,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573327.528234,26266,19528,15578,12175,11942,18709,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14138,17922,12161,11950,18745,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573328.5870156,26266,19526,15469,12220,11973,18707,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14121,17833,12193,11977,18708,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573329.0532372,26266,19526,15469,12220,11973,18707,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14104,17835,12186,11966,18715,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573329.7728724,26266,19524,15580,12183,11943,18799,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14104,17835,12186,11966,18715,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573330.462613,26266,19523,15470,12225,11971,18768,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14087,17901,12174,11961,18752,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573331.508495,26266,19521,15651,12161,11927,18789,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14054,17924,12167,11953,18812,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573332.5059745,26266,19521,15651,12161,11927,18789,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14037,17829,12193,11972,18770,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573333.090146,26266,19517,15611,12179,11938,18761,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14037,17829,12193,11972,18770,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573333.6400077,26266,19515,15573,12196,11948,18743,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14021,17811,12202,11971,18797,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573334.2905402,26266,19515,15573,12196,11948,18743,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14021,17811,12202,11971,18797,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573334.6527011,26266,19515,15573,12196,11948,18743,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14004,17894,12174,11957,18765,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573335.5579228,26266,19513,15589,12187,11937,18746,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,14004,17894,12174,11957,18765,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573336.207129,26266,19511,15587,12196,11947,18737,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,13987,17924,12170,11954,18785,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573336.659645,26266,19511,15587,12196,11947,18737,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,13987,17924,12170,11954,18785,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
1768573337.056995,26266,19508,15588,12200,11948,18784,True,False,True,True,True,True,True,False,False,False,False,False,False,26266,13970,17884,12173,11952,18744,True,False,True,True,True,True,True,True,False,False,False,False,False,False,False
